handle,product_gid,status,type,title,proposed_vendor,confidence,evidence,action
coca-cola-zero-24x-150ml-cans,gid://shopify/Product/8018148688028,ACTIVE,Soft Drink,Coca Cola Zero 24x 150ml Cans,Coca-Cola,high,known-brand,PUSHED
cotswolds-dry-gin-70cl,gid://shopify/Product/15414443311479,ACTIVE,gin,Cotswolds Dry Gin 70cl,Cotswolds,high,corroborated x5,PUSHED
cotswolds-flaxen-vale-single-malt-whisky-70cl,gid://shopify/Product/15414449963383,ACTIVE,whisky,Cotswolds flaxen vale single malt whisky 70cl,Cotswolds,high,corroborated x5,PUSHED
cotswolds-founders-choice-single-malt-whisky-70cl,gid://shopify/Product/15415019176311,ACTIVE,whisky,Cotswolds founder's choice single malt whisky 70cl,Cotswolds,high,corroborated x5,PUSHED
cotswolds-harvest-series-amber-meadow-single-malt-whisky-70cl,gid://shopify/Product/15414920380791,ACTIVE,whisky,Cotswolds harvest series amber meadow single malt whisky 70cl,Cotswolds,high,corroborated x5,PUSHED
cotswolds-sherry-cask-single-malt-whisky-70cl,gid://shopify/Product/15414967239031,ACTIVE,whisky,Cotswolds sherry cask single malt whisky 70cl,Cotswolds,high,corroborated x5,PUSHED
croe-royal-oscietra-caviar,gid://shopify/Product/15492751982967,ACTIVE,Caviar,Croe Royal Oscietra Caviar,Croe,high,known-brand,PUSHED
croe-sevruga-caviar,gid://shopify/Product/15492767383927,DRAFT,Caviar,Croe Sevruga Caviar,Croe,high,known-brand,PUSHED
cut-caviar-royal-baeri,gid://shopify/Product/15492794122615,ACTIVE,Caviar,Cut Caviar Royal Baeri,Cut Caviar,high,known-brand,PUSHED
david-moret-chassagne-montrachet-1er-cru-abbaye-de-morgeot-2022,gid://shopify/Product/7895940366492,ACTIVE,wine,"David Moret, Chassagne-Montrachet 1er Cru 'Abbaye de Morgeot' 2022",David Moret,high,corroborated x2,PUSHED
david-moret-chassagne-montrachet-2022,gid://shopify/Product/7895930044572,ACTIVE,wine,"David Moret, Chassagne-Montrachet 2022",David Moret,high,corroborated x2,PUSHED
dom-p-rignon-lady-gaga-champagne,gid://shopify/Product/7605281521820,DRAFT,champagne,"Dom Pérignon Lady Gaga 2010 Vintage Champagne in Gift Box, 75cl",Dom Pérignon,high,known-brand,PUSHED
dom-p-rignon-lady-ros-champagne,gid://shopify/Product/7605270479004,DRAFT,champagne,Dom Pérignon Lady Gaga 2006 Rosé Vintage Champagne 75cl,Dom Pérignon,high,known-brand,PUSHED
dom-p-rignon-lenny-kravitz-limited-edition-vintage-2008-candelabra-magnum,gid://shopify/Product/7668242841756,DRAFT,champagne,Dom Pérignon Lenny Kravitz Limited Edition Vintage 2008 Candelabra Magnum,Dom Pérignon,high,known-brand,PUSHED
dom-p-rignon-ros-champagne,gid://shopify/Product/7605309538460,DRAFT,champagne,"Dom Pérignon Rosé Vintage 2008 Champagne in Gift Box, 75cl",Dom Pérignon,high,known-brand,PUSHED
dom-perignon-p3-1992-75cl,gid://shopify/Product/14982836683127,DRAFT,champagne,Dom Pérignon P3 1992 – 75cl,Dom Pérignon,high,known-brand,PUSHED
dom-ruinart-ros-2009-champagne,gid://shopify/Product/7602944016540,DRAFT,champagne,Dom Ruinart Rosé 2009 Vintage Champagne 75cl,Dom Ruinart,high,known-brand,PUSHED
domaine-de-bel-air-cuvee-des-acoins-pouilly-fume-2020,gid://shopify/Product/7710732550300,ACTIVE,wine,"Domaine de Bel Air, `Cuvée des Acoins` Pouilly-Fumé 2020 75cl",Domaine de Bel Air,high,estate,PUSHED
domaine-de-montille-bourgogne-blanc-le-clos-du-chateau-de-puligny-montrachet,gid://shopify/Product/7710634901660,ACTIVE,wine,"Domaine de Montille, Bourgogne Blanc `Le Clos du Château de Puligny-Montrachet`75cl",Domaine de Montille,high,estate,PUSHED
domaine-de-montille-volnay-1er-cru-en-champans-2017,gid://shopify/Product/7895429709980,ACTIVE,wine,"Domaine de Montille, Volnay 1er Cru `En Champans` 2017",Domaine de Montille,high,estate,PUSHED
domaine-de-pellehaut-harmonie-blanc-2022,gid://shopify/Product/7966272422044,ACTIVE,wine,Domaine de Pellehaut Harmonie Blanc 2022,Domaine de Pellehaut Harmonie,high,estate,PUSHED
domaine-des-sables-verts-domaine-des-sables-verts-glouglou-saumur-champigny-2021,gid://shopify/Product/7903399936156,ARCHIVED,wine,Domaine des Sables Verts Glouglou Saumur-Champigny 2021,Domaine des Sables Verts,high,estate (hand-corrected),PUSHED
domaine-des-sables-verts-glouglou-saumur-champigny-2020,gid://shopify/Product/7903631245468,ACTIVE,wine,"Domaine des Sables Verts, `Glouglou` Saumur-Champigny 2020",Domaine des Sables Verts,high,estate,PUSHED
domaine-des-sables-verts-glouglou-saumur-champigny-2022,gid://shopify/Product/7903311298716,ARCHIVED,wine,"Domaine des Sables Verts, `Glouglou` Saumur-Champigny 2022",Domaine des Sables Verts,high,estate,PUSHED
domaine-du-roc-des-boutires-macon-solutre-2020,gid://shopify/Product/7710686216348,ACTIVE,wine,"Domaine du Roc des Boutires, Mâcon-Solutré 2020 75cl",Domaine du Roc des Boutires,high,estate,PUSHED
domaine-du-roc-des-boutires-pouilly-fuisse-en-bertilionne-2020,gid://shopify/Product/7710666064028,ACTIVE,wine,"Domaine du Roc des Boutires, Pouilly-Fuissé `En Bertilionne` 2020, 75cl",Domaine du Roc des Boutires,high,estate,PUSHED
domaine-stephane-aladame-cremant-de-bourgogne-extra-brut-2019,gid://shopify/Product/7708026634396,DRAFT,wine,"Domaine Stéphane Aladame, Crémant de Bourgogne Extra Brut 2019, 75cl",Domaine Stéphane Aladame,high,known-brand,PUSHED
domaines-otts-cuvee-etoile-rose-2021,gid://shopify/Product/8194527625372,ACTIVE,wine,Domaines Ott's Cuvée Étoile Rosé 2021 Magnum 1.5L,Domaines Ott's Cuvée,high,corroborated x2,PUSHED
domaines-otts-cuvee-etoile-rose-2021-1-5l,gid://shopify/Product/8194536669340,ARCHIVED,wine,Domaines Ott's Cuvée Étoile Rosé 2021 (1.5L),Domaines Ott's Cuvée,high,corroborated x2,PUSHED
don-fulano-anejo-tequila-70cl,gid://shopify/Product/15346270929271,ACTIVE,tequila,Don Fulano Anejo Tequila 70cl,Don Fulano,high,corroborated x3,PUSHED
don-fulano-blanco-tequila-70cl,gid://shopify/Product/15346271388023,ACTIVE,tequila,Don Fulano Blanco Tequila 70cl,Don Fulano,high,corroborated x3,PUSHED
don-fulano-reposado-tequila-70cl,gid://shopify/Product/15346271256951,ACTIVE,tequila,Don Fulano Reposado Tequila 70cl,Don Fulano,high,corroborated x3,PUSHED
etienne-sauzet-bourgogne-la-tufera-2020,gid://shopify/Product/7710594990236,ACTIVE,wine,"Etienne Sauzet, Bourgogne `La Tuféra` 2021, 75cl",Etienne Sauzet,high,corroborated x3,PUSHED
etienne-sauzet-hautes-c-tes-de-beaune-blanc-jardin-du-calvaire,gid://shopify/Product/7710572314780,ACTIVE,wine,"Etienne Sauzet, Hautes Côtes de Beaune Blanc `Jardin du Calvaire` 2019, 75cl",Etienne Sauzet,high,corroborated x3,PUSHED
