product_id,handle,title,blocks_removed
7671588323484,,Dom Pérignon Vintage 2010 1.5L Magnum,1
7672064311452,,Veuve Clicquot Yellow Label Brut Magnum 1.5L,1
7672091607196,,Moët & Chandon Champagne Impérial Brut Magnum 1.5L,1
7672857231516,,Chateau Ste Michelle Cabernet Sauvignon 75cl,1
7674428293276,,Champagne Laurent-Perrier La Cuvée 20cl,1
7674523975836,,12x Moët & Chandon Champagne Brut Rosé 37.5cl,1
7674568573084,,Moët & Chandon Impérial Brut 37.5cl,1
7674632470684,,12x Veuve Clicquot Yellow Label Case 37.5 cl,1
7674697580700,,Moët & Chandon Champagne Impérial Brut Mini 20cl,1
7674768425116,,Moët & Chandon Champagne Brut Rosé Mini 20cl,1
7674819739804,,"Cloudy Bay Sauvignon Blanc 2021, 75cl",1
7676357181596,,G.H.Mumm Rose NV Brut 75cl,1
7676406005916,,Ridgeview Bloomsbury English Sparkling Wine 75cl,1
7676429041820,,Villa Maria Private Bin Marlborough Sauvignon Blanc 75cl,1
7676435595420,,"Errazuriz Aconcagua Costa Sauvignon Blanc 2020, 75cl",1
7690164338844,,"Miraval, Studio Rosé 75cl",1
7690766680220,,"Irrewarra, Chardonnay 75cl",1
7692654805148,,"Jean-Claude Boisset, Mâcon-Igé `Château London` 75cl",1
7692672663708,,"Jean-Claude Boisset, Meursault `Le Limozin` 75cl",1
7692676890780,,"Domaine Stéphane Aladame, Montagny 1er Cru `Découverte` 75cl",1
7692728991900,,"Jean-Claude Boisset, Bourgogne Pinot Noir `Les Ursulines` 75cl",1
7692732039324,,Charbonnel et Walker Pink Marc de Champagne Chocolate Truffles 135g,1
7692733317276,,Charbonnel et Walker Dark Marc de Champagne Chocolate Truffles,1
7692736102556,,Charbonnel et Walker Dark Sea Salt Caramel Chocolate Truffles,1
7692749340828,,Charbonnel et Walker Milk Sea Salt Caramel Praline Chocolate Truffles,1
7692753010844,,Charbonnel et Walker Pink Himalayan Salted Caramel Chocolate Truffles,1
7692757729436,,Charbonnel et Walker 007 Dry Martini Truffles,1
7693179682972,,Charbonnel et walker Whisky Truffles,1
7693184696476,,Charbonnel et walker Pistachio Truffles,1
7693193642140,,Charbonnel et walker Milk Sea Salt Caramel Thins,1
7693841203356,,Charbonnel et walker Red Velvet Decadence Heart with Fine Milk & Dark Chocolates,1
7693930528924,,"Domaine Jean-Noël Gagnard, Chassagne-Montrachet 1er Cru `Les Caillerets` 2019 75cl",1
7695372845212,,Bellavista Vittorio Moretti Franciacorta Extra Brut Vintage 2013,1
7695402959004,,Bellavista Franciacorta Satèn Brut Vintage 2017,1
7695515156636,,"Taittinger, Comtes de Champagne Blanc de Blancs 2011",1
7695529836700,,"Champagne Pierre Péters, `Les Montjolys` Cuvée Spéciale Blanc de Blancs 75cl",1
7695544123548,,"Champagne Pierre Péters, `Les Chétillons` Cuvée Spéciale Blanc de Blancs 75cl",1
7695556935836,,"Rathfinny Wine Estate, Blanc de Blancs 2018 75cl",1
7695574991004,,"Rathfinny Wine Estate, Blanc de Noirs 2019 75cl",1
7696196927644,,Gaja Barbaresco 2017 Double Magnum 3 Litres,1
7696784654492,,Masseto Toscana 2018 75cl,1
7696811950236,,Gaja Barbaresco 2018 37.5cl,1
7697504927900,,Marchesi Antinori Tignanello 2019 75cl,1
7697510531228,,Sassicaia Tenuta San Guido 2018 75cl,1
7697513808028,,Opus One 2013 75cl,1
7697516069020,,Sassicaia Tenuta San Guido 2014 75cl,1
7697525506204,,Gaja Barbaresco 2019 75cl,1
7697529012380,,Gaja Ca'Marcanda Promis 75cl,1
