handle,title,products,image_url,alt_text
perrier-jouet-champagne,Perrier Jouet Champagne,7,https://cdn.shopify.com/s/files/1/1624/5203/collections/perrier_jouet_grand_brut_new_bottle_gift_box_75cl.webp?v=1789732075,Perrier-Jouët Champagne
philipponnat-champagne,Philipponnat Champagne,4,https://cdn.shopify.com/s/files/1/1624/5203/collections/PhilipponnatRoyalReserveBrutchampagne.jpg?v=1789732076,Philipponnat Champagne
piemonte,Piedmont,7,https://cdn.shopify.com/s/files/1/1624/5203/collections/Gaja-Barbaresco-2019-684x684.jpg?v=1789732078,Piedmont
pinot-grigio,Pinot Grigio,2,https://cdn.shopify.com/s/files/1/1624/5203/collections/5010658314966.jpg?v=1789732079,Pinot Grigio
pinot-noir,Pinot Noir Wine Gifts,54,https://cdn.shopify.com/s/files/1/1624/5203/collections/JEAN-CLAUDEBOISSET_BOURGOGNEPINOTNOIR.jpg?v=1789731786,Pinot Noir Wine
piper-heidsieck-champagne,Piper Heidsieck Champagne,10,https://cdn.shopify.com/s/files/1/1624/5203/collections/Piper-Heidsieck_CuveeBrut_Luminous.jpg?v=1789732080,Piper-Heidsieck Champagne
pol-roger-champagne,Pol Roger Champagne,7,https://cdn.shopify.com/s/files/1/1624/5203/collections/pol-roger-brut-reserve-nv-champagne.jpg?v=1789732082,Pol Roger Champagne
pomerol,Pomerol,15,https://cdn.shopify.com/s/files/1/1624/5203/collections/7e57b3b6f01042d2b7699975aeb51f7f.jpg?v=1789732083,Pomerol
pommery-champagne,Pommery Champagne,3,https://cdn.shopify.com/s/files/1/1624/5203/collections/pommery_brut_apanage_75cl_1.jpg?v=1789732085,Pommery Champagne
port-fortified-wines,Port & Fortified Wines,8,https://cdn.shopify.com/s/files/1/1624/5203/collections/Cocchi-Vermouth_di_Torino_75cl_af715a1b-fe0c-420b-bdab-c367635da4d5.jpg?v=1789732086,Port & Fortified Wines
practicing-organic-wines,Practicing Organic Wines,3,https://cdn.shopify.com/s/files/1/1624/5203/collections/PalmerHalf2019.jpg?v=1789732088,Practicing Organic Wines
